"No.","Time","Source","Destination","Protocol","Length","Info"
"14194","144.403317","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12930912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14195","144.403424","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12932312 Win=65792 Len=0"
"14196","144.403516","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12932312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14197","144.416572","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12933712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14198","144.416690","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12935112 Win=65792 Len=0"
"14199","145.102371","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12935112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14200","145.113896","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12936512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14201","145.114019","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12937912 Win=65792 Len=0"
"14202","145.114105","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12937912 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14203","145.114582","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12939312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14204","145.114582","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12940712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14205","145.114612","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12942112 Win=65792 Len=0"
"14206","145.115223","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12942112 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14207","145.115254","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12943512 Win=65792 Len=0"
"14208","145.115297","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12943512 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14209","145.115550","27.112.79.120","192.168.43.150","TLSv1.3","1454","Application Data [TCP segment of a reassembled PDU]"
"14210","145.115584","192.168.43.150","27.112.79.120","TCP","54","63761  >  443 [ACK] Seq=1334 Ack=12946312 Win=65792 Len=0"
"14211","145.119560","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [ACK] Seq=12946312 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
"14212","145.120006","27.112.79.120","192.168.43.150","TCP","1454","443  >  63761 [PSH, ACK] Seq=12947712 Ack=1334 Win=5532 Len=1400 [TCP segment of a reassembled PDU]"
